Points:14538, Remaining weight:126, Remaining volume:20
item274, 24, 34, 40, 274
item682, 25, 34, 47, 682
item637, 11, 34, 73, 637
item913, 20, 27, 55, 913
item716, 23, 24, 79, 716
item780, 23, 36, 70, 780
item479, 22, 31, 42, 479
item684, 21, 34, 72, 684
item979, 12, 34, 53, 979
item636, 21, 37, 50, 636
item170, 29, 31, 64, 170
item18, 28, 33, 46, 18
item646, 15, 20, 49, 646
item176, 28, 39, 45, 176
item378, 14, 30, 70, 378
item768, 20, 35, 71, 768
item149, 29, 36, 79, 149
item862, 26, 35, 71, 862
item792, 29, 37, 66, 792
item688, 20, 27, 69, 688
item165, 29, 26, 77, 165
item782, 17, 38, 47, 782
item738, 25, 29, 55, 738
item759, 25, 37, 45, 759
item335, 12, 22, 55, 335
item866, 17, 29, 60, 866
item104, 17, 27, 76, 104
item959, 15, 28, 55, 959
item190, 29, 25, 47, 190
item938, 21, 35, 68, 938
item21, 17, 34, 75, 21
item632, 16, 23, 69, 632
item248, 22, 23, 68, 248
item641, 13, 40, 77, 641
item131, 22, 39, 70, 131
item63, 22, 22, 43, 63
item483, 19, 34, 54, 483
item469, 26, 26, 54, 469
item276, 22, 33, 41, 276
item124, 14, 24, 64, 124
item706, 20, 23, 42, 706
item972, 19, 34, 47, 972
item664, 25, 37, 67, 664
item188, 22, 35, 76, 188
item17, 29, 37, 61, 17
item16, 28, 32, 42, 16
item504, 29, 37, 62, 504
item65, 22, 28, 42, 65
item230, 22, 25, 78, 230
item400, 22, 38, 79, 400
item311, 26, 35, 73, 311
item232, 14, 36, 62, 232
item868, 16, 33, 54, 868
item339, 13, 22, 50, 339
item359, 14, 29, 56, 359
item510, 13, 37, 41, 510
item352, 18, 33, 43, 352
item805, 19, 21, 48, 805
item306, 30, 30, 53, 306
item793, 23, 24, 70, 793
item199, 29, 24, 63, 199
item934, 19, 20, 52, 934
item167, 23, 28, 66, 167
item844, 17, 39, 72, 844
item728, 18, 31, 53, 728
item919, 25, 31, 56, 919
item279, 29, 29, 45, 279
item416, 15, 40, 44, 416
item25, 29, 29, 68, 25
item78, 28, 29, 56, 78
item445, 21, 37, 61, 445
item206, 29, 38, 72, 206
item575, 28, 32, 70, 575
item203, 24, 33, 76, 203
item867, 10, 33, 69, 867
item843, 27, 27, 60, 843
item532, 15, 33, 47, 532
item186, 19, 35, 53, 186
item909, 29, 39, 50, 909
item336, 24, 20, 60, 336
item419, 13, 34, 78, 419
item162, 23, 36, 73, 162
item639, 23, 27, 47, 639
item512, 26, 21, 48, 512
item651, 12, 32, 67, 651
item527, 18, 34, 45, 527
item49, 10, 36, 49, 49
item106, 18, 33, 45, 106
item816, 30, 21, 57, 816
item631, 26, 28, 73, 631
item721, 19, 36, 51, 721
item368, 25, 26, 60, 368
item864, 28, 20, 51, 864
item955, 15, 24, 40, 955
item38, 29, 30, 72, 38
item412, 17, 39, 46, 412
item296, 30, 39, 43, 296
item949, 18, 29, 57, 949
item859, 15, 35, 60, 859
item314, 24, 31, 41, 314
item275, 19, 34, 70, 275
item592, 27, 34, 69, 592
item331, 26, 32, 64, 331
item110, 24, 21, 60, 110
item559, 19, 29, 54, 559
item679, 21, 39, 67, 679
item263, 19, 20, 75, 263
item699, 21, 29, 62, 699
item810, 25, 39, 51, 810
item390, 11, 22, 77, 390
item964, 12, 29, 47, 964
item293, 24, 28, 57, 293
item473, 25, 40, 50, 473
item361, 11, 23, 41, 361
item522, 30, 25, 52, 522
item328, 19, 26, 69, 328
item714, 28, 32, 62, 714
item323, 15, 35, 54, 323
item302, 29, 30, 75, 302
item379, 24, 22, 41, 379
item431, 12, 23, 74, 431
item624, 16, 20, 59, 624
item607, 27, 37, 73, 607
item908, 27, 29, 63, 908
item252, 16, 26, 63, 252
item560, 24, 36, 51, 560
item126, 23, 26, 48, 126
item68, 20, 27, 47, 68
item524, 26, 37, 41, 524
item128, 20, 25, 76, 128
item373, 23, 24, 74, 373
item752, 30, 29, 73, 752
item204, 12, 36, 75, 204
item841, 29, 22, 70, 841
item393, 11, 28, 49, 393
item757, 30, 40, 46, 757
item802, 25, 34, 65, 802
item936, 16, 33, 54, 936
item401, 30, 29, 51, 401
item811, 16, 32, 43, 811
item783, 12, 27, 51, 783
item281, 14, 25, 55, 281
item821, 20, 24, 73, 821
item3, 12, 40, 65, 3
item209, 11, 25, 78, 209
item297, 22, 34, 72, 297
item520, 22, 36, 78, 520
item875, 30, 25, 49, 875
item741, 24, 24, 63, 741
item498, 17, 35, 54, 498
item467, 29, 26, 77, 467
item901, 17, 22, 75, 901
item800, 21, 22, 76, 800
item894, 26, 38, 79, 894
item896, 19, 26, 72, 896
item324, 25, 26, 66, 324
item496, 11, 32, 48, 496
item294, 18, 31, 77, 294
item584, 27, 23, 68, 584
item971, 25, 20, 48, 971
item465, 26, 33, 43, 465
item541, 25, 30, 74, 541
item470, 16, 25, 59, 470
item471, 25, 35, 77, 471
item105, 30, 31, 40, 105
item444, 13, 22, 63, 444
item118, 14, 30, 80, 118
item422, 12, 38, 74, 422
item809, 17, 35, 41, 809
item4, 19, 25, 75, 4
item687, 24, 22, 69, 687
item320, 11, 39, 70, 320
item812, 12, 33, 80, 812
item920, 25, 26, 42, 920
item854, 14, 25, 76, 854
item796, 27, 24, 60, 796
item561, 19, 36, 64, 561
item953, 12, 27, 41, 953
item833, 23, 36, 45, 833
item480, 19, 35, 56, 480
item491, 14, 24, 71, 491
item924, 18, 36, 63, 924
item108, 28, 30, 71, 108
item756, 20, 38, 49, 756
item43, 25, 28, 52, 43
item922, 26, 29, 66, 922
item225, 26, 22, 71, 225
item754, 17, 21, 53, 754
item57, 24, 21, 62, 57
item675, 28, 30, 42, 675
item351, 19, 25, 45, 351
item614, 27, 24, 41, 614
item704, 24, 35, 65, 704
item978, 14, 26, 73, 978
item396, 11, 39, 69, 396
item62, 12, 21, 74, 62
item438, 24, 33, 61, 438
item574, 23, 24, 49, 574
item573, 20, 26, 79, 573
item45, 25, 37, 43, 45
item107, 16, 34, 66, 107
item193, 13, 34, 58, 193
item77, 17, 21, 69, 77
item931, 12, 38, 47, 931
item785, 30, 26, 73, 785
item214, 23, 31, 55, 214
item815, 10, 39, 68, 815
item6, 27, 32, 73, 6
item779, 28, 24, 74, 779
item160, 17, 21, 66, 160
item762, 17, 40, 45, 762
item127, 14, 32, 41, 127
item657, 27, 25, 64, 657
item665, 19, 38, 53, 665
item385, 24, 33, 49, 385
item418, 17, 26, 68, 418
item250, 19, 38, 79, 250
item539, 12, 31, 63, 539
item482, 10, 32, 52, 482
item486, 14, 24, 62, 486
item705, 21, 35, 70, 705
item14, 22, 20, 59, 14
item145, 12, 25, 41, 145
item39, 19, 25, 52, 39
item855, 19, 30, 70, 855
item703, 27, 22, 72, 703
item873, 17, 39, 68, 873
item403, 16, 35, 69, 403
item171, 26, 22, 40, 171
item587, 21, 32, 71, 587
item163, 25, 22, 65, 163
item638, 28, 38, 63, 638
item443, 19, 27, 74, 443
item406, 27, 24, 63, 406
item660, 27, 26, 69, 660
item847, 12, 34, 41, 847
item544, 13, 27, 72, 544
item111, 24, 28, 63, 111
item224, 24, 21, 63, 224
item774, 23, 30, 48, 774
item987, 14, 32, 66, 987
item992, 13, 33, 43, 992
item626, 15, 39, 44, 626
item513, 19, 32, 53, 513
item122, 24, 35, 56, 122
item727, 29, 35, 77, 727
item2, 15, 26, 63, 2
item463, 26, 36, 57, 463
item606, 29, 38, 42, 606
item450, 15, 35, 57, 450
item304, 12, 23, 41, 304
item542, 25, 30, 75, 542
item589, 12, 29, 57, 589
item516, 17, 31, 50, 516
item366, 25, 28, 74, 366
item946, 22, 24, 70, 946
item507, 30, 26, 77, 507
item502, 19, 28, 58, 502
item882, 30, 32, 46, 882
item647, 25, 25, 51, 647
item219, 28, 28, 68, 219
item807, 21, 38, 58, 807
item758, 13, 32, 42, 758
item75, 18, 39, 51, 75
item357, 17, 21, 73, 357
item628, 19, 26, 40, 628
item427, 27, 36, 64, 427
item381, 27, 36, 49, 381
item977, 25, 23, 52, 977
item956, 23, 21, 46, 956
item962, 20, 29, 64, 962
item240, 19, 21, 58, 240
item986, 11, 20, 66, 986
item34, 22, 32, 59, 34
item900, 24, 35, 41, 900
item732, 26, 28, 66, 732
item192, 11, 35, 71, 192
item906, 25, 34, 68, 906
item226, 11, 26, 68, 226
item570, 12, 33, 76, 570
item494, 27, 24, 51, 494
item771, 16, 38, 49, 771
item551, 28, 37, 75, 551
item360, 30, 22, 71, 360
item428, 28, 25, 56, 428
item588, 22, 24, 78, 588
item231, 28, 33, 44, 231
item890, 18, 28, 79, 890
item751, 16, 29, 77, 751
item197, 29, 34, 40, 197
item93, 12, 27, 41, 93
item285, 13, 39, 40, 285
item295, 10, 22, 71, 295
item208, 15, 36, 77, 208
item346, 24, 28, 80, 346
item698, 29, 25, 76, 698
item121, 17, 27, 49, 121
item804, 27, 26, 53, 804
item454, 23, 34, 63, 454
item109, 29, 26, 63, 109
item558, 16, 30, 57, 558
item242, 12, 24, 45, 242
item848, 10, 28, 65, 848
item958, 30, 27, 54, 958
item156, 16, 20, 43, 156
item55, 22, 31, 64, 55
item713, 22, 32, 60, 713
item73, 23, 27, 70, 73
item944, 17, 27, 55, 944
item731, 23, 35, 45, 731
item371, 11, 28, 54, 371
item627, 25, 37, 55, 627
item630, 19, 32, 61, 630
item101, 24, 28, 41, 101
item625, 27, 33, 79, 625
item125, 21, 22, 44, 125
item76, 26, 21, 43, 76
item120, 10, 28, 62, 120
item988, 18, 28, 42, 988
item535, 21, 39, 56, 535
item464, 24, 29, 47, 464
item37, 22, 40, 61, 37
item797, 28, 26, 52, 797
item591, 26, 23, 68, 591
item928, 20, 39, 61, 928
item806, 12, 25, 56, 806
item448, 20, 37, 47, 448
item737, 28, 22, 56, 737
item50, 15, 27, 72, 50
item201, 21, 24, 74, 201
item1000, 26, 40, 78, 1000
item685, 11, 23, 43, 685
item397, 29, 34, 64, 397
item218, 19, 24, 77, 218
item767, 30, 35, 55, 767
item672, 22, 27, 76, 672
item423, 13, 31, 59, 423
item202, 17, 25, 59, 202
item549, 24, 31, 78, 549
item506, 22, 29, 76, 506
item951, 21, 21, 41, 951
item874, 24, 31, 48, 874
item305, 16, 31, 60, 305
item550, 19, 23, 50, 550
item930, 19, 25, 56, 930
item899, 19, 31, 59, 899
item258, 11, 38, 77, 258
item629, 20, 24, 70, 629
item645, 18, 23, 77, 645
item693, 23, 22, 73, 693
